"Nome completo";"Apelido";"Email";"Telefones";"CPF";"Administrador";"Possui agenda";"Data de nascimento";"Status";"Faz Lançamento PAT";"Código de identificação";"Data Inicio";"Forma relação profissional";"Função"
"007 bLOw da vez";"007 bLOw da vez";"maroua1401@uorak.com";"(51) 99146-0822";"92973647991";"Não";"Não";"";"Inativo";"Sim";"0007";"";"";""
"008 bLOw da vez";"008 bLOw da vez";"nayade2474@uorak.com";"(51) 99146-0822";"90619264594";"Não";"Não";"";"Inativo";"Sim";"0008";"";"";""
"009 bLOw da vez";"009 bLOw da vez";"getuta6033@uorak.com";"(51) 99146-0822";"64576170007";"Não";"Não";"";"Inativo";"Sim";"0009";"";"";""
"010 bLOw da vez";"010 bLOw da vez";"manjot9049@uorak.com";"(51) 99146-0822";"60421127597";"Não";"Não";"";"Inativo";"Sim";"0010";"";"";""
"011 bLOw da vez";"011 bLOw da vez";"teodolinda9807@uorak.com";"(51) 99146-0822";"14103532220";"Não";"Não";"";"Inativo";"Sim";"0011";"";"";""
"012 bLOw da vez";"012 bLOw da vez";"eiman8804@uorak.com";"(51) 99146-0822";"14645305301";"Não";"Não";"";"Inativo";"Sim";"0012";"";"";""
"013 bLOw da vez";"013 bLOw da vez";"lasandra1795@uorak.com";"(51) 99146-0822";"31747701572";"Não";"Não";"";"Inativo";"Sim";"0013";"";"";""
"014 bLOw da vez";"014 bLOw da vez";"heidrun6117@uorak.com";"(51) 99146-0822";"90639981046";"Não";"Não";"";"Inativo";"Sim";"0014";"";"";""
"015 bLOw da vez";"015 bLOw da vez";"billi2490@uorak.com";"(51) 99146-0822";"69903799870";"Não";"Não";"";"Inativo";"Sim";"0015";"";"";""
"016 bLOw da vez";"016 bLOw da vez";"serita325@uorak.com";"(51) 99146-0822";"19951070264";"Não";"Não";"";"Inativo";"Sim";"0016";"";"";""
"017 bLOw da vez";"017 bLOw da vez";"gerardo6115@uorak.com";"(51) 99146-0822";"80545074452";"Não";"Não";"";"Inativo";"Sim";"0017";"";"";""
"018 bLOw da vez";"018 bLOw da vez";"zlatan3844@uorak.com";"(51) 99146-0822";"37752318540";"Não";"Não";"";"Inativo";"Sim";"0018";"";"";""
"019 bLOw da vez";"019 bLOw da vez";"ilah322@uorak.com";"(51) 99146-0822";"82509612506";"Não";"Não";"";"Inativo";"Sim";"0019";"";"";""
"020 bLOw da vez";"020 bLOw da vez";"chaoyang523@uorak.com";"(51) 99146-0822";"34832216465";"Não";"Não";"";"Inativo";"Sim";"0020";"";"";""
